timestamp,station,lat,lon,magnitude,event
2025-01-14T12:34:38,MATE,40.65,16.7,3.297,Jan 14 2025 — 10dB recorded
2025-01-14T12:47:20,MATE,40.65,16.7,3.528,Jan 14 2025 — 10dB recorded
2025-01-14T12:47:21,MATE,40.65,16.7,4.319,Jan 14 2025 — 10dB recorded
2025-01-14T12:47:22,MATE,40.65,16.7,2.731,Jan 14 2025 — 10dB recorded
2025-01-14T12:48:42,MATE,40.65,16.7,3.131,Jan 14 2025 — 10dB recorded
2025-01-14T12:48:43,MATE,40.65,16.7,3.681,Jan 14 2025 — 10dB recorded
2025-01-14T12:48:44,MATE,40.65,16.7,2.884,Jan 14 2025 — 10dB recorded
2025-01-14T12:50:11,MATE,40.65,16.7,3.331,Jan 14 2025 — 10dB recorded
2025-01-14T12:50:12,MATE,40.65,16.7,2.631,Jan 14 2025 — 10dB recorded
2025-01-14T12:51:42,MATE,40.65,16.7,3.959,Jan 14 2025 — 10dB recorded
2025-01-14T12:51:43,MATE,40.65,16.7,3.284,Jan 14 2025 — 10dB recorded
2025-01-14T12:53:34,MATE,40.65,16.7,3.534,Jan 14 2025 — 10dB recorded
2025-01-14T12:53:35,MATE,40.65,16.7,4.157,Jan 14 2025 — 10dB recorded
