time,METG,MATE,ONSA,BRST,WSRT,BRUX
2025-01-14 09:00:00,43.88808333333333,45.44500000000001,40.92307692307692,44.65354545454545,41.87392307692308,43.22941666666667
2025-01-14 09:00:01,43.92983333333333,45.489999999999995,40.92307692307692,44.61954545454545,41.707076923076926,43.19291666666666
2025-01-14 09:00:02,43.96875,45.485,40.92307692307692,44.613818181818175,41.83784615384616,43.18783333333334
2025-01-14 09:00:03,43.93216666666666,45.529999999999994,40.69230769230769,44.63081818181818,41.751615384615384,43.19825000000001
2025-01-14 09:00:04,43.8125,45.515,40.69230769230769,44.681999999999995,41.793461538461536,43.20858333333333
2025-01-14 09:00:05,43.71358333333333,45.6,40.84615384615385,44.75590909090909,41.767538461538464,43.07825
2025-01-14 09:00:06,43.76291666666666,45.52,40.84615384615385,44.68209090909091,41.97084615384615,43.02108333333333
2025-01-14 09:00:07,43.84366666666667,45.574999999999996,40.76923076923077,44.67063636363636,41.954076923076926,42.82316666666666
2025-01-14 09:00:08,43.83075,45.43,40.76923076923077,44.59681818181818,42.00353846153847,42.880583333333334
2025-01-14 09:00:09,43.89325,45.394999999999996,40.76923076923077,44.648,42.11638461538462,42.958666666666666
2025-01-14 09:00:10,43.91683333333333,45.295,40.76923076923077,44.426272727272725,42.28815384615385,43.151250000000005
2025-01-14 09:00:11,43.94024999999999,45.155,40.61538461538461,44.57390909090909,42.393,43.05233333333333
2025-01-14 09:00:12,43.94266666666667,45.205,40.69230769230769,44.73327272727273,42.220461538461535,43.000249999999994
2025-01-14 09:00:13,43.921833333333325,45.195,40.76923076923077,44.80709090909091,42.3423076923077,43.042
2025-01-14 09:00:14,43.89325,45.11,40.76923076923077,44.76736363636364,42.32600000000001,43.13033333333333
2025-01-14 09:00:15,43.833333333333336,45.135000000000005,40.76923076923077,44.7389090909091,42.40107692307693,43.213750000000005
2025-01-14 09:00:16,43.50516666666667,44.980000000000004,40.46153846153846,44.52854545454545,42.341692307692306,43.15133333333333
2025-01-14 09:00:17,41.11716666666666,44.77,38.84615384615385,44.187727272727265,41.70146153846153,42.792
