time,METG,MATE,ONSA,BRST,WSRT,BRUX
2021-06-09 09:00:00,40.63283333333333,45.638888888888886,43.0,44.1015,41.91354545454545,42.6312
2021-06-09 09:00:01,40.68225,45.644444444444446,43.3,44.125,41.891636363636366,42.618700000000004
2021-06-09 09:00:02,40.541666666666664,45.51111111111111,43.3,43.7265,41.80045454545455,42.6001
2021-06-09 09:00:03,40.56758333333334,45.644444444444446,43.3,43.578125,41.76736363636363,42.5874
2021-06-09 09:00:04,40.51291666666666,45.61666666666666,43.0,43.67175,41.593636363636364,42.5002
2021-06-09 09:00:05,40.4845,45.611111111111114,42.9,43.5625,41.68681818181818,42.4688
2021-06-09 09:00:06,40.440083333333334,45.62777777777778,42.9,43.289,41.671454545454544,42.475
2021-06-09 09:00:07,40.500083333333336,45.666666666666664,42.7,43.015625,41.81145454545455,42.443799999999996
2021-06-09 09:00:08,40.552,45.64444444444444,42.6,43.25,41.82454545454546,42.387699999999995
2021-06-09 09:00:09,40.53375,45.6888888888889,42.9,43.20325,41.786272727272724,42.4435
2021-06-09 09:00:10,42.449000000000005,45.57222222222222,43.1,43.23425,41.80809090909091,42.462599999999995
2021-06-09 09:00:11,42.491454545454545,45.52777777777778,43.0,43.265625,41.75672727272727,42.5124
2021-06-09 09:00:12,42.54527272727273,45.611111111111114,43.1,43.30475,41.761545454545455,42.4125
2021-06-09 09:00:13,42.49427272727272,45.68888888888889,43.0,43.3985,41.830090909090906,42.425
2021-06-09 09:00:14,42.502636363636356,45.57777777777778,43.1,43.5,41.76036363636364,42.4
2021-06-09 09:00:15,42.449,45.58888888888888,43.1,43.35925,41.61636363636364,42.4061
2021-06-09 09:00:16,42.48872727272727,45.56666666666666,43.0,43.15625,41.682545454545455,42.349900000000005
2021-06-09 09:00:17,42.383545454545455,45.56666666666667,43.0,43.25749999999999,41.74036363636364,42.325100000000006
2021-06-09 09:00:18,42.30690909090909,45.611111111111114,42.8,43.38249999999999,41.8669090909091,42.2938
2021-06-09 09:00:19,42.309636363636365,45.59444444444445,42.8,43.406375,41.88681818181818,42.3251
2021-06-09 09:00:20,42.14481818181818,45.53888888888889,42.8,43.3985,41.91727272727272,42.2752
2021-06-09 09:00:21,42.10781818181818,45.55555555555556,42.7,43.453,41.815000000000005,42.325
2021-06-09 09:00:22,42.15327272727273,45.57777777777778,42.7,43.547125,41.86572727272728,42.36229999999999
2021-06-09 09:00:23,42.071090909090906,45.49444444444444,42.7,43.531125,41.93818181818182,42.337599999999995
2021-06-09 09:00:24,42.15918181818182,45.455555555555556,42.8,43.57025,41.987272727272725,42.4063
2021-06-09 09:00:25,42.10781818181818,45.516666666666666,43.1,43.429625,42.086,42.4187
2021-06-09 09:00:26,42.01709090909091,45.62777777777777,42.9,43.5,41.945,42.4003
2021-06-09 09:00:27,41.98581818181819,45.55,43.1,43.5625,41.94372727272727,42.3624
2021-06-09 09:00:28,42.034090909090914,45.56111111111111,43.0,43.8515,41.98954545454546,42.3437
2021-06-09 09:00:29,42.11072727272727,45.58888888888888,43.1,43.8905,41.87681818181818,42.2999
2021-06-09 09:00:30,42.162,45.577777777777776,43.1,43.945375,41.86427272727272,42.3809
2021-06-09 09:00:31,42.13918181818181,45.55,43.1,43.859375,41.849363636363634,42.337599999999995
2021-06-09 09:00:32,42.076727272727275,45.599999999999994,43.2,43.585875,41.850909090909084,42.3187
2021-06-09 09:00:33,41.99409090909091,45.53888888888889,43.1,43.664,41.911181818181824,42.312599999999996
2021-06-09 09:00:34,41.90627272727273,45.60555555555556,43.2,43.867000000000004,41.95545454545455,42.325
2021-06-09 09:00:35,41.89772727272727,45.672222222222224,43.2,43.8595,41.89572727272727,42.2312
2021-06-09 09:00:36,41.80390909090909,45.733333333333334,43.2,43.71075,41.89181818181818,42.3501
2021-06-09 09:00:37,41.90336363636364,45.738888888888894,43.1,43.804875,41.83736363636364,42.3876
2021-06-09 09:00:38,41.823727272727275,45.661111111111104,43.1,43.687375,41.723454545454544,42.375
2021-06-09 09:00:39,41.8239090909091,45.72777777777778,42.9,43.656,41.60063636363637,42.3563
2021-06-09 09:00:40,41.96872727272727,45.6888888888889,43.0,43.851749999999996,41.48209090909091,42.3686
2021-06-09 09:00:41,42.028363636363636,45.62777777777777,42.9,43.968625,41.46754545454546,42.3623
2021-06-09 09:00:42,42.00272727272728,45.766666666666666,43.0,44.023250000000004,41.55481818181818,42.2999
2021-06-09 09:00:43,41.920545454545454,45.733333333333334,43.0,44.039125,41.42554545454546,42.3625
2021-06-09 09:00:44,41.960272727272724,45.777777777777786,42.9,43.960875,41.52845454545455,42.3127
2021-06-09 09:00:45,42.03427272727273,45.75,42.6,43.96875,41.38372727272728,42.318799999999996
2021-06-09 09:00:46,42.02572727272727,45.800000000000004,42.4,43.95325,41.48345454545455,42.3438
2021-06-09 09:00:47,42.00272727272727,45.81111111111111,42.5,43.859375,41.43572727272727,42.343900000000005
2021-06-09 09:00:48,42.07390909090909,45.78888888888889,42.4,43.828125,41.558454545454545,42.3562
2021-06-09 09:00:49,42.02272727272727,45.78333333333333,42.9,43.74225,41.47690909090909,42.3562
2021-06-09 09:00:50,42.04263636363637,45.733333333333334,42.8,43.8045,41.593545454545456,42.3999
2021-06-09 09:00:51,42.11936363636364,45.72777777777778,42.9,43.734375,41.942727272727275,42.3686
2021-06-09 09:00:52,42.230090909090904,45.75,42.9,43.788875000000004,41.92418181818182,42.4185
2021-06-09 09:00:53,42.162090909090914,45.733333333333334,43.1,43.718624999999996,41.99227272727273,42.4063
2021-06-09 09:00:54,42.13345454545455,45.666666666666664,43.1,43.88275,41.86063636363637,42.456100000000006
2021-06-09 09:00:55,42.156181818181814,45.67777777777778,43.1,43.711,41.94881818181818,42.4125
2021-06-09 09:00:56,42.16190909090909,45.738888888888894,42.6,43.898624999999996,41.825636363636356,42.481100000000005
2021-06-09 09:00:57,42.22727272727273,45.638888888888886,42.7,43.94525,41.78272727272727,42.5501
2021-06-09 09:00:58,42.16772727272728,45.599999999999994,42.7,43.89825,41.76772727272727,42.45
2021-06-09 09:00:59,42.0850909090909,45.68888888888889,42.8,43.851625,41.699090909090906,42.4499
2021-06-09 09:01:00,41.95727272727273,45.699999999999996,42.9,43.664,41.838818181818176,42.474900000000005
2021-06-09 09:01:01,41.96609090909091,45.59444444444445,43.0,43.48425,41.76645454545455,42.5312
2021-06-09 09:01:02,41.951727272727275,45.67222222222222,42.9,43.547,41.75081818181819,42.525
2021-06-09 09:01:03,42.01136363636363,45.68333333333333,42.9,43.7185,41.80827272727273,42.4563
2021-06-09 09:01:04,42.019999999999996,45.672222222222224,42.8,43.78125,41.741727272727275,42.5
2021-06-09 09:01:05,41.971545454545456,45.57777777777778,42.8,43.679625,41.64181818181818,42.525099999999995
2021-06-09 09:01:06,41.95163636363637,45.61666666666667,42.9,43.8515,41.80072727272727,42.5125
2021-06-09 09:01:07,41.849363636363634,45.650000000000006,43.3,43.9375,41.85718181818182,42.4624
2021-06-09 09:01:08,41.835272727272724,45.69444444444444,43.1,43.94525,41.89936363636363,42.455999999999996
2021-06-09 09:01:09,41.983,45.8,43.2,43.8595,41.826818181818176,42.4749
2021-06-09 09:01:10,41.914727272727276,45.78333333333333,43.1,43.835875,41.94036363636364,42.3563
2021-06-09 09:01:11,41.92063636363636,45.827777777777776,43.1,43.90625,41.90309090909091,42.474900000000005
2021-06-09 09:01:12,41.877818181818185,45.8111111111111,43.0,43.882875,41.917,42.4188
